user_id,cdn,edge
1633062173478,2749420070,0
user_id,cdn,edge
1633062187182,0,2749420070
user_id,cdn,edge
1633062201727,0,5498840140
user_id,cdn,edge
1633062219003,0,7458862210
user_id,cdn,edge
1633062236560,0,8926959280
user_id,cdn,edge
1633062256767,0,11501345350
user_id,cdn,edge
1633062273557,0,13066958350
user_id,cdn,edge
1633062292076,0,14078864420
user_id,cdn,edge
1633062305160,0,15091511420
user_id,cdn,edge
1633062323114,0,15901479420
user_id,cdn,edge
1633062339793,0,16704746420
user_id,cdn,edge
1633062358889,0,17808199420
user_id,cdn,edge
1633062376347,0,18651960420
user_id,cdn,edge
1633062388927,0,19249141420
user_id,cdn,edge
1633062403041,0,20398801420
user_id,cdn,edge
1633062417169,0,20961359420
user_id,cdn,edge
1633062433765,0,22028201420
user_id,cdn,edge
1633062449237,0,22699205490
user_id,cdn,edge
1633062463957,0,23602297490
user_id,cdn,edge
1633062478457,0,23501703560
user_id,cdn,edge
1633062497833,0,24327241560
user_id,cdn,edge
1633062511412,0,24532153560
user_id,cdn,edge
1633062527786,0,24736245630
user_id,cdn,edge
1633062540255,0,25029298630
user_id,cdn,edge
1633062550374,0,25125798630
user_id,cdn,edge
1633062565529,0,25143937630
user_id,cdn,edge
1633062578302,0,25578599700
user_id,cdn,edge
1633062591773,0,23084985630
user_id,cdn,edge
1633062602824,0,25505404700
user_id,cdn,edge
1633062616038,0,25022192700
