user_id,cdn,edge
1633058941155,2749420070,0
user_id,cdn,edge
1633058954885,2749420070,0
user_id,cdn,edge
1633058969468,1960022070,789398000
user_id,cdn,edge
1633058986407,1642498070,1106922000
user_id,cdn,edge
1633059003568,2399985070,293368000
user_id,cdn,edge
1633059023567,1639614000,1109806070
user_id,cdn,edge
1633059039975,980205070,1744548000
user_id,cdn,edge
1633059057915,970347000,1764973070
user_id,cdn,edge
1633059070802,809968000,1939452070
user_id,cdn,edge
1633059088262,803267000,1946153070
user_id,cdn,edge
1633059105114,1371608000,1377812070
user_id,cdn,edge
1633059124045,575606000,2144347070
user_id,cdn,edge
1633059141251,597181000,2152239070
user_id,cdn,edge
1633059153555,1297662000,1451758070
user_id,cdn,edge
1633059167668,414556000,2310197070
user_id,cdn,edge
1633059181677,1165542000,1583878070
user_id,cdn,edge
1633059198294,1241844070,1493476000
user_id,cdn,edge
1633059213820,233552000,2437738070
user_id,cdn,edge
1633059228643,549942070,2199478000
user_id,cdn,edge
1633059243110,175002000,2495126070
user_id,cdn,edge
1633059262679,204912000,2544508070
user_id,cdn,edge
1633059276368,204092070,2545328000
user_id,cdn,edge
1633059292799,293053000,2456367070
user_id,cdn,edge
1633059305200,96500000,2652920070
user_id,cdn,edge
1633059315365,18139000,2731281070
user_id,cdn,edge
1633059330636,434662070,2314758000
user_id,cdn,edge
1633059343240,107041000,2642379070
user_id,cdn,edge
1633059356776,17100000,2732320070
user_id,cdn,edge
1633059367902,73192000,2651561070
user_id,cdn,edge
1633059381333,23322000,2647968070
