user_id,cdn,edge
1633059752973,2749420070,0
user_id,cdn,edge
1633059766546,0,2749420070
user_id,cdn,edge
1633059780652,0,2749420070
user_id,cdn,edge
1633059797236,0,2749420070
user_id,cdn,edge
1633059814520,0,2693353070
user_id,cdn,edge
1633059834337,0,2749420070
user_id,cdn,edge
1633059850607,0,2724753070
user_id,cdn,edge
1633059868437,0,2735320070
user_id,cdn,edge
1633059881361,0,2749420070
user_id,cdn,edge
1633059899290,0,2749420070
user_id,cdn,edge
1633059915521,0,2749420070
user_id,cdn,edge
1633059934308,0,2719953070
user_id,cdn,edge
1633059951622,0,2749420070
user_id,cdn,edge
1633059963949,0,2749420070
user_id,cdn,edge
1633059977830,0,2724753070
user_id,cdn,edge
1633059991771,0,2749420070
user_id,cdn,edge
1633060008245,0,2735320070
user_id,cdn,edge
1633060023764,0,2671290070
user_id,cdn,edge
1633060038469,0,2749420070
user_id,cdn,edge
1633060052969,0,2670128070
user_id,cdn,edge
1633060072548,0,2749420070
user_id,cdn,edge
1633060086174,0,2749420070
user_id,cdn,edge
1633060102571,0,2749420070
user_id,cdn,edge
1633060114945,0,2749420070
user_id,cdn,edge
1633060124883,0,2749420070
user_id,cdn,edge
1633060140137,0,2749420070
user_id,cdn,edge
1633060152978,0,2749420070
user_id,cdn,edge
1633060166606,0,2749420070
user_id,cdn,edge
1633060177673,0,2724753070
user_id,cdn,edge
1633060191027,0,2671290070
