user_id,cdn,edge
1633188584093,1502814070,0
1633188597075,0,1502814070
1633188610769,0,1502814070
1633188626863,0,1502814070
1633188643207,0,1459608070
1633188662393,0,1502814070
1633188677780,0,1498914070
1633188697881,0,1502814070
1633188709819,0,1502814070
1633188726647,0,1502814070
1633188742487,0,1502814070
1633188760879,0,1461328070
1633188777524,0,1502814070
1633188789543,0,1502814070
1633188803171,0,1498914070
1633188816465,0,1502814070
1633188832444,0,1502814070
1633188847228,0,1446089070
1633188861171,0,1502814070
1633188875084,0,1426028070
1633188893933,0,1502814070
1633188906995,0,1502814070
1633188922817,0,1502814070
1633188934738,0,1502814070
1633188944298,0,1502814070
1633188958990,0,1502814070
1633188971441,0,1502814070
1633188984601,0,1502814070
1633188995199,0,1498914070
1633189007921,0,1446089070
