user_id,cdn,edge
1633123170155,1502814070,0
1633123183429,0,1502814070
1633123197291,0,3005628140
1633123213366,0,4115796210
1633123229249,0,5186019210
1633123247700,0,6642924280
1633123262882,0,7194979350
1633123279516,0,7814639350
1633123291806,0,8589017350
1633123308402,0,8984918420
1633123324364,0,9079437420
1633123342702,0,9597794420
1633123359212,0,9941936420
1633123371115,0,10235787420
1633123384616,0,11249371420
1633123397929,0,11553961420
1633123413738,0,12230620420
1633123428329,0,12299188490
1633123442269,0,12837480490
1633123455954,0,12581204490
1633123474670,0,13231298490
1633123487547,0,13231298490
1633123503202,0,13357763490
1633123515094,0,13657074490
1633123524687,0,13657074490
1633123539246,0,13657074490
1633123551560,0,13868370490
1633123564545,0,12493375490
1633123574792,0,13909254490
1633123587150,0,13377904490
