user_id,cdn,edge
1633190746869,1502814070,0
1633190760103,1502814070,0
1633190774194,1110168070,392646000
1633190790769,1199841000,302973070
1633190807450,1327287070,132321000
1633190827189,563755070,939059000
1633190843050,607960000,890954070
1633190863752,774378000,728436070
1633190876196,395901070,1106913000
1633190893260,94519000,1408295070
1633190909652,763373000,739441070
1633190928566,99126000,1362202070
1633190945600,293851000,1208963070
1633190957868,1036984000,465830070
1633190971665,281190000,1217724070
1633190985352,676659000,826155070
1633191001400,579093070,923721000
1633191016440,27767000,1418322070
1633191030626,371012000,1131802070
1633191044607,22806000,1403222070
1633191063367,0,1502814070
1633191076607,126465000,1376349070
1633191092640,299311000,1203503070
1633191104805,0,1502814070
1633191114558,0,1502814070
1633191129272,211296000,1291518070
1633191141696,59184000,1443630070
1633191155050,12900000,1489914070
1633191165710,0,1498914070
1633191178405,0,1446089070
