user_id,cdn,edge
1633187635851,1502814070,0
1633187648591,0,1502814070
1633187662089,0,3005628140
1633187678157,0,4115796210
1633187694288,0,5186019210
1633187713068,0,6642924280
1633187728722,0,7194979350
1633187748870,0,7814639350
1633187761144,0,8589017350
1633187777863,0,8984918420
1633187793811,0,9079437420
1633187812253,0,9597794420
1633187828833,0,9941936420
1633187840723,0,10235787420
1633187854221,0,11249371420
1633187867598,0,11553961420
1633187883416,0,12230620420
1633187898162,0,12299188490
1633187912134,0,12837480490
1633187926034,0,12581204490
1633187944883,0,13231298490
1633187958074,0,13231298490
1633187974016,0,13357763490
1633187986128,0,13657074490
1633187995592,0,13657074490
1633188010146,0,13657074490
1633188022596,0,13868370490
1633188035691,0,13927554490
1633188046039,0,13909254490
1633188058537,0,13377904490
