id,ip
default,ftp
cloud,192.168.160.21
node_0,192.168.160.22
node_1,192.168.160.23
node_2,192.168.160.24
node_3,192.168.160.25
node_4,192.168.160.26
node_5,192.168.160.27
node_6,192.168.160.28
node_7,192.168.160.29
node_8,192.168.160.30
node_9,192.168.160.31
node_10,192.168.160.32
node_11,192.168.160.33
node_12,192.168.160.34
node_13,192.168.160.35
node_14,192.168.160.36
node_15,192.168.160.37
node_16,192.168.160.38
node_17,192.168.160.39
node_18,192.168.160.40
node_19,192.168.160.41
