x,y,id,ip,model
7.482611075919959,43.76647852308643,node_0,192.168.160.43,../../models/model1.csv
7.484918012162582,43.76418515787565,node_1,192.168.160.44,../../models/model2.csv
7.484917725982166,43.76135052407299,node_2,192.168.160.45,../../models/model1.csv
7.4826106128703165,43.759057355428766,node_3,192.168.160.46,../../models/model2.csv
7.478878,43.75818146614502,node_4,192.168.160.47,../../models/model1.csv
7.475145387129683,43.759057355428766,node_5,192.168.160.48,../../models/model2.csv
7.472838274017833,43.76135052407299,node_6,192.168.160.49,../../models/model2.csv
7.472837987837417,43.76418515787565,node_7,192.168.160.50,../../models/model1.csv
7.47514492408004,43.76647852308643,node_8,192.168.160.51,../../models/model1.csv
7.478878,43.767354533855,node_9,192.168.160.52,../../models/model2.csv
